1;   Fürge Ferenc  ; 29; 1
2;   Sebes Szilárd  ; 27; 1
3;   Szapora Szervác  ; 19; 2
4;   Rohanó Róbert  ; 26; 2
5;   Villámgyors Vilmos  ; 35; 3
6;   Rapid Roland  ; 28; 3
7;   Szélsebes Szerpentínia  ; 27; 4
8;   Rohamos Rebeka  ; 26; 4
9;   Lendületes Levente  ; 27; 5
10;   Száguldó Simon  ; 20; 5
11;   Szélvész Sára  ; 22; 6
12;   Gyors György  ; 29; 6
13;   Égető Erik  ; 21; 7
14;   Élénk Egon  ; 25; 7
15;   Expressz Ernő  ; 30; 8
16;   Heves Henrik  ; 29; 8
17;   Nyílsebes Nóra  ; 20; 9
18;   Postakocsi Petra  ; 19; 9
